name,height_cm,weight_kg,bra,bust_in,waist_in,hips_in
Dylan Daniels,161,55,34D,38,24,35
Dylan Phoenix,173,62,34DD,39,28,38
Dylan Riley,155,49,34D,38,24,34
Dylan Ryan,178,62,34B,36,27,29
Dylan Ryder,175,62,36DD,41,27,36
Eden Adams,170,50,34DD,39,25,34
Eden Sinclair,162,52,32A,33,26,36
Eileen Sue,171,57,34C,37,25,36
Ela Darling,172,57,32C,35,26,35
Electra Angels,172,50,34B,36,24,35
Elen Million,167,54,36D,40,24,36
Elena Heiress,157,52,34C,37,24,36
Elena Koshka,182,59,34B,36,24,34
Elexis Monroe,167,56,36C,39,27,35
Elicia Solis,165,51,32F,39,26,32
Elin Flame,173,48,34B,36,24,32
Elisa Ann Costa,163,61,38E,44,26,38
Elise Graves,158,48,32A,33,24,36
Eliza Allure,166,121,40F,47,38,56
Eliza Ibarra,175,50,34B,36,25,37
Eliza Jane,163,56,34B,36,25,36
Elizabeth Ann,157,55,34B,36,27,37
Elizabeth Bentley,150,45,32A,33,22,35
Elizabeth Lawrence,165,52,34C,37,26,34
Ella Knox,158,51,34DD,39,27,36
Ella Milano,160,49,32C,35,24,32
Ella Storm,165,57,34B,36,23,35
Elle Alexandra,170,54,32A,33,24,34
Elle Brook,170,57,36B,38,23,35
Elle Flynn,170,67,36HH,48,32,36
Elle McRae,166,55,34C,37,26,35
Elle Rose,165,45,32A,33,24,35
Elle Voneva,155,50,32A,33,26,32
Ellen Betsy,168,58,36B,38,25,37
Elli Nude,165,59,34D,38,25,37
Ellie Foxx,162,50,34A,35,25,36
Ellie Springlare,179,51,36A,37,24,39
Eloa Lombard,170,58,40C,43,28,41
Elsa Jean,160,45,32C,35,24,28
Ember Reigns,170,50,32F,39,26,34
Ember Snow,150,41,32C,35,25,32
Emilia Boshe,178,80,36J,49,34,40
Emilianna,175,66,34D,38,26,36
Emilija Dangalova,173,55,36D,40,26,36
Emily Addison,163,52,32DD,37,25,35
Emily Austin,157,51,34B,36,24,36
Emily B,157,45,30F,37,23,33
Emily Benjamins,160,45,32B,34,24,29
Emily Blacc,177,57,32D,36,24,37
Emily Eve,163,59,34B,36,26,43
Emily Evermoore,165,50,32B,34,24,31
Emily George,165,61,34F,41,24,34
Emily Right,170,72,32DDD,38,26,34
Emily Willis,165,50,32A,33,24,35
Emma Brown,168,53,34A,35,24,35
Emma Butt,180,70,34GG,44,30,38
Emma Cummings,160,51,36D,40,27,38
Emma Haize,162,45,32A,33,24,36
Emma Heart,160,55,36D,40,25,36
Emma Mae,173,50,34B,36,26,36
Emma Snow,168,59,34B,36,28,34
Emma Starletto,161,45,32A,33,25,34
Emma Starr,173,54,34D,38,24,34
Emma Stoned,160,52,32B,34,24,32
Empera,167,48,33A,34,25,34
Emy Reyes,152,52,32C,35,24,36
Erica Campbell,163,52,34D,38,25,36
Erica Lauren,175,59,34C,37,24,37
Erica Lightspeed,178,56,34A,35,25,35
Erica Valentine,177,67,36C,39,24,41
Erica Vieira,168,53,32B,34,24,34
Erika Bellucci,167,50,34B,36,27,36
Erika Devine,166,45,34B,36,26,30
Erika Kole,163,55,34B,36,26,33
Erika Vuitton,170,59,36DD,41,24,36
Erin Moore,163,48,34C,37,24,30
Erin Ray,165,52,34D,38,25,34
Erin Stone,170,45,32B,34,26,33
Eris Maximo,160,45,33B,35,24,37
Esmi Lee,165,52,32A,33,22,24
Esperanza Del Horno,160,47,32B,34,24,35
Esperanza Diaz,157,50,34C,37,24,36
Esperanza Gomez,170,55,36D,40,23,36
Estella Bathory,170,86,36F,43,32,44
Eufrat,175,55,36C,39,25,37
Eva Angelina,160,54,34D,38,25,36
Eva Antonyia,157,52,34C,37,21,34
Eva Black,173,55,34C,37,28,35
Eva Ellington,156,48,32B,34,23,33
Eva Karera,170,54,34G,43,24,34
Eva May,152,50,32E,38,27,35
Eva Notty,175,67,36J,49,28,34
Eva Quinn,168,62,38DD,43,26,36
Eva Roberts,163,50,34B,36,27,35
Eva Sedona,155,48,32B,34,26,30
Eva Strauss,163,50,33A,34,24,34
Eva Torres,165,49,32B,34,24,35
Eve Angel,166,53,35C,38,25,36
Eve Ellwood,183,64,32D,36,22,32
Eve Evans,157,50,34A,35,26,36
Eve Laurence,170,52,36D,40,27,36
Eve Nicholson,155,53,34B,36,24,36
Evelin Stone,165,58,32C,35,26,29
Evelina Darling,157,51,34A,35,25,36
Eveline Dellai,160,44,32AA,32,27,32
Evelyn Claire,170,59,32A,33,26,34
Evelyn Lin,165,50,34B,36,25,36
Evelyn Lory,173,55,33B,35,25,37
Evelyn Neill,175,52,34B,36,23,34
Evi Fox,157,52,32DD,37,23,27
Evie Dellatossa,157,45,34D,38,25,35
Evie Olson,163,55,34D,38,24,34
Evilyn Fierce,160,50,32A,33,25,35
Evita Pozzi,168,53,36D,40,26,36
Ezanni Solei,163,57,34DD,39,24,36
Fabiane Thompson,165,53,34B,36,24,34
Faith Leon,180,61,34B,36,27,36
Farrah Dahl,165,49,34DD,39,23,34
Faustine Lee,161,57,36D,40,25,34
Faye Reagan,163,49,34C,37,28,36
Faye Runaway,163,45,32A,33,22,32
Febby Twigs,158,55,36B,38,26,36
Felecia,163,52,35B,37,24,36
Felicia Kiss,168,56,36C,39,24,36
Felicity Feline,168,55,36DD,41,24,34
Felix Vicious,173,59,34B,36,28,34
Felony,168,52,34D,38,24,34
Fetish Liza,175,58,34B,36,26,37
Finesse Navarro,157,55,34A,35,24,32
Fiona Cheeks,169,55,34A,35,24,36
Flick Shagwell,170,50,32B,34,24,32
Florane Russell,167,54,34D,38,25,38
Florina Rose,157,48,38B,40,23,34
Flower Tucci,168,61,36C,39,28,38
Foxii Black,161,50,32D,36,24,36
Foxy Di,157,45,34B,36,24,34
Foxy Sanie,165,55,31A,32,24,31
Francesca Dicaprio,172,56,36B,38,25,36
Francesca Felucci,165,57,36D,40,25,36
Francesca Le,157,52,34D,38,27,36
Franceska Jaimes,173,57,34D,38,26,38
Franchezca Valentina,160,55,34C,37,27,32
Francys Belle,169,48,35C,38,24,34
Franziska Facella,167,48,32A,33,25,34
French Chloe,165,55,32C,35,24,37
Freya Fantasia,170,61,36C,39,27,37
Freya Von Doom,145,41,32A,33,24,32
Frida Sante,157,44,32C,35,24,35
Friday,150,51,38DD,43,24,35
Gabbie Carter,170,52,34DD,39,22,32
Gabby Quinteros,154,51,36D,40,26,36
Gabi Gold,164,55,34C,37,26,32
Gabriela Lopez,152,50,34D,38,25,36
Gabriella Banks,165,55,34DD,39,27,36
Gabriella Ford,171,54,33A,34,24,35
Gabriella Paltrova,152,46,32B,34,22,32
Gabriella Romano,160,58,34C,37,24,34
Gabriella Varvara,158,49,34C,37,27,36
Gabrielle Gucci,170,48,35C,38,25,35
Gaia,155,52,34D,38,27,36
Gala Brown,166,55,34A,35,24,38
Gauge,150,42,34C,37,24,34
Gemma More,160,50,34C,37,22,36
Gen Padova,149,43,33B,35,22,34
Genesis Skye,165,57,34B,36,29,34
Georgia Peach,160,84,40DD,45,45,48
Georgie Lyall,160,50,32FF,40,24,34
Gia Gallante,175,52,34B,36,24,34
Gia Love,175,55,33C,36,24,35
Gia Paige,157,50,32B,34,24,34
Gia Paloma,157,58,34DD,39,25,38
Gia Steel,160,53,34B,36,21,36
Gia Vendetti,173,52,32B,34,25,35
Gianna Dior,162,48,32D,36,26,33
Gianna Gem,157,45,32B,34,24,34
Gianna Love,149,47,34B,36,24,34
Gianna Lynn,163,50,34D,38,24,34
Gianna Michaels,178,66,34DD,39,27,38
Gianna Nicole,170,55,34C,37,28,38
Gigi Allens,177,60,36F,43,24,36
Gigi Larios,168,55,34B,36,28,31
Gigi Love,167,47,42D,46,24,37
Gigi Rivera,160,50,30A,31,24,36
Gilda Roberts,172,52,35D,39,24,36
Gina Blonde,165,51,34B,36,26,36
Gina Gerson,160,40,34A,35,22,31
Gina Lynn,157,48,34D,38,24,34
Gina Ryder,162,48,34D,38,23,33
Gina Snake,150,42,35DD,40,25,33
Gina Valentina,157,48,34A,35,24,35
Ginebra Bellucci,157,51,34A,35,23,35
Ginger Banks,173,59,32C,35,28,44
Ginger Blaze,157,52,34D,38,24,32
Ginger Elle,175,61,34DD,39,28,37
Ginger Hell,165,52,36DD,41,25,37
Ginger Jones,170,55,37D,41,25,35
Ginger Lea,160,45,34C,37,24,34
Ginger Lee,157,48,34C,37,25,34
Ginger Lynn,160,50,34B,36,24,34
Giny Loud,167,54,34A,35,25,37
Giovana,170,51,36DD,41,28,38
Giselle Humes,170,57,32C,35,26,37
Giselle Mari,170,50,34B,36,27,38
Giselle Palmer,173,61,34DD,39,27,38
Gitta Blond,170,50,34A,35,25,37
Giuliana Lemme,167,53,33B,35,24,34
Glory Foxxx,162,111,42DDD,48,38,52
Goddess Kyaa,178,55,30B,32,26,30
Goldie Baby,158,40,36DD,41,24,34
Goldie Star,160,50,34DD,39,24,34
Grace Evangeline,163,47,32DD,37,24,33
Gracelynn Moans,162,55,34B,36,30,36
Gracie Glam,165,55,34B,36,29,36
Grae Stoke,176,52,34B,36,23,33
Greta A,160,48,32A,33,24,35
Guiliana Alexis,157,50,34B,36,25,32
Gwen Diamond,175,64,36C,39,28,38
Gwen Stark,170,59,34C,37,26,34
Gwen Summers,170,50,34B,36,23,34
Gwen Vicious,163,55,32B,34,27,34
Hadley Haze,161,57,32F,39,25,38
Hadley Mason,163,66,36D,40,28,36
Haileey James,160,55,32B,34,24,33
Hailey Little,163,45,32B,34,25,34
Hailey Young,168,49,34A,35,24,33
Haley Cummings,166,52,34F,41,28,38
Haley Hill,165,57,36B,38,25,36
Haley Hunter,165,50,34C,37,25,32
Haley Reed,178,54,34B,36,24,35
Haley Scott,160,52,36C,39,24,35
Haley Sweet,157,49,32B,34,22,32
Haley Wilde,163,50,34D,38,24,35
Halia Hill,163,45,32C,35,24,34
Halie James,161,50,32DD,37,24,32
Halle Hayes,170,62,36DD,41,27,38
Hana Black,170,54,35C,38,24,35
Hanna Hilton,175,51,34DD,39,24,34
Hanna Lay,168,52,34B,36,26,36
Hanna Montada,170,60,36D,40,24,35
Hanna Shaw,160,51,34C,37,30,34
Hannah Harper,170,57,34C,37,24,34
